iso_8601,seconds_in_day,HH,MM,SS,bucket
00:07:27,447,00,07,27,EARLY MORNING
00:07:28,448,00,07,28,EARLY MORNING
00:07:29,449,00,07,29,EARLY MORNING
00:07:30,450,00,07,30,EARLY MORNING
00:07:31,451,00,07,31,EARLY MORNING
00:07:32,452,00,07,32,EARLY MORNING
00:07:33,453,00,07,33,EARLY MORNING
00:07:34,454,00,07,34,EARLY MORNING
00:07:35,455,00,07,35,EARLY MORNING
00:07:36,456,00,07,36,EARLY MORNING
00:07:37,457,00,07,37,EARLY MORNING
00:07:38,458,00,07,38,EARLY MORNING
00:07:39,459,00,07,39,EARLY MORNING
00:07:40,460,00,07,40,EARLY MORNING
00:07:41,461,00,07,41,EARLY MORNING
00:07:42,462,00,07,42,EARLY MORNING
00:07:43,463,00,07,43,EARLY MORNING
00:07:44,464,00,07,44,EARLY MORNING
00:07:45,465,00,07,45,EARLY MORNING
00:07:46,466,00,07,46,EARLY MORNING
00:07:47,467,00,07,47,EARLY MORNING
00:07:48,468,00,07,48,EARLY MORNING
00:07:49,469,00,07,49,EARLY MORNING
00:07:50,470,00,07,50,EARLY MORNING
00:07:51,471,00,07,51,EARLY MORNING
00:07:52,472,00,07,52,EARLY MORNING
00:07:53,473,00,07,53,EARLY MORNING
00:07:54,474,00,07,54,EARLY MORNING
00:07:55,475,00,07,55,EARLY MORNING
00:07:56,476,00,07,56,EARLY MORNING
00:07:57,477,00,07,57,EARLY MORNING
00:07:58,478,00,07,58,EARLY MORNING
00:07:59,479,00,07,59,EARLY MORNING
00:08:00,480,00,08,00,EARLY MORNING
00:08:01,481,00,08,01,EARLY MORNING
00:08:02,482,00,08,02,EARLY MORNING
00:08:03,483,00,08,03,EARLY MORNING
00:08:04,484,00,08,04,EARLY MORNING
00:08:05,485,00,08,05,EARLY MORNING
00:08:06,486,00,08,06,EARLY MORNING
00:08:07,487,00,08,07,EARLY MORNING
00:08:08,488,00,08,08,EARLY MORNING
00:08:09,489,00,08,09,EARLY MORNING
00:08:10,490,00,08,10,EARLY MORNING
00:08:11,491,00,08,11,EARLY MORNING
00:08:12,492,00,08,12,EARLY MORNING
00:08:13,493,00,08,13,EARLY MORNING
00:08:14,494,00,08,14,EARLY MORNING
00:08:15,495,00,08,15,EARLY MORNING
00:08:16,496,00,08,16,EARLY MORNING
00:08:17,497,00,08,17,EARLY MORNING
00:08:18,498,00,08,18,EARLY MORNING
00:08:19,499,00,08,19,EARLY MORNING
00:08:20,500,00,08,20,EARLY MORNING
00:08:21,501,00,08,21,EARLY MORNING
